model,attack_targets,health_targets,total_targets,attack_survives,health_reachable,all_selected_targets_passed
oclm_phase1.spthy,6,1,7,6,1,True
oclm_phase1b1_external_signature.spthy,3,0,3,3,0,True
oclm_phase1b2_time_space_window.spthy,5,1,6,5,1,True
oclm_phase1b3_claim_collapse.spthy,4,0,4,4,0,True
oclm_phase1b_external.spthy,5,0,5,5,0,True
oclm_phase1c1_composition_contract.spthy,4,0,4,4,0,True
oclm_phase1c2_signed_composition_certificate.spthy,4,1,5,4,1,True
oclm_phase1c3_forward_secure_epochs.spthy,5,0,5,5,0,True
oclm_phase1c3a_forward_secure_epoch_core.spthy,3,1,4,3,1,True
oclm_phase1c3b_c2_c3_composition_contract.spthy,4,0,4,4,0,True
oclm_phase1c4a_verifier_state_monotonicity_core.spthy,4,0,4,4,0,True
oclm_phase1c4b_rollback_resistant_composition_contract.spthy,4,1,5,4,1,True
oclm_phase1c5a_revocation_state_core.spthy,4,1,5,4,1,True
oclm_phase1c5b_transparency_split_view_core.spthy,4,1,5,4,1,True
oclm_phase1c5c_revocation_transparency_lineage_composition_contract.spthy,6,0,6,6,0,True
oclm_phase1c6a_multi_epoch_generalization_core.spthy,6,0,6,6,0,True
oclm_phase1c6b_generalized_security_composition_contract.spthy,9,1,10,9,1,True
